near_pair_id,path_a,path_b,phash_hamming_distance_bits
113,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1064.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1065.jpeg,8
114,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1083.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa_golden_leaves/IMG_1082.jpeg,8
115,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1085.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1086.jpeg,8
116,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1090.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1091.jpeg,8
117,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1095.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa_golden_leaves/IMG_1096.jpeg,2
118,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1102.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1103.jpeg,6
119,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1104.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa_golden_leaves/IMG_1105.jpeg,4
120,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1106.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1107.jpeg,4
121,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1106.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1108.jpeg,6
122,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1107.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1108.jpeg,6
123,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1110.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1111.jpeg,4
124,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1114.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1115.jpeg,6
125,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1115.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1116.jpeg,6
126,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1116.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1118.jpeg,8
127,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1118.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1119.jpeg,6
128,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1118.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1120.jpeg,6
129,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1119.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1120.jpeg,0
130,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1119.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1121.jpeg,8
131,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1120.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1121.jpeg,8
132,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1121.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1122.jpeg,2
133,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1121.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1123.jpeg,4
134,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1122.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1123.jpeg,2
135,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1127.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1128.jpeg,4
136,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1135.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa_golden_leaves/IMG_1136.jpeg,8
137,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1142.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1143.jpeg,4
138,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1142.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Goeppertia_makoyana/IMG_1141.jpeg,2
139,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1143.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1145.jpeg,6
140,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1143.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Goeppertia_makoyana/IMG_1141.jpeg,6
141,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1153.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Goeppertia_makoyana/IMG_1154.jpeg,8
142,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1155.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1156.jpeg,8
143,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1155.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Goeppertia_makoyana/IMG_1154.jpeg,8
144,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1161.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Goeppertia_makoyana/IMG_1162.jpeg,4
145,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1180.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1181.jpeg,8
146,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1186.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1187.jpeg,8
147,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1198.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1199.jpeg,2
148,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1209.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Goeppertia_makoyana/IMG_1210.jpeg,4
149,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Juniperus_chinensis/IMG_1421.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Juniperus_chinensis/IMG_1422.jpeg,4
150,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Juniperus_chinensis/IMG_1429.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Juniperus_chinensis/IMG_1430.jpeg,8
151,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Juniperus_chinensis/IMG_1439.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Juniperus_chinensis/IMG_1438.jpeg,4
152,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1293.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1294.jpeg,6
153,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1294.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1295.jpeg,4
154,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1304.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1305.jpeg,8
155,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1315.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1316.jpeg,4
156,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1318.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Podocarpus_macrophyllus/IMG_1317.jpeg,6
157,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1330.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1331.jpeg,8
158,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1334.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Podocarpus_macrophyllus/IMG_1335.jpeg,6
159,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1344.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Podocarpus_macrophyllus/IMG_1345.jpeg,8
160,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Rhododendron/IMG_0960.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Rhododendron/IMG_0961.jpeg,8
161,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Rhododendron/IMG_0962.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Rhododendron/IMG_0961.jpeg,8
162,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Rhododendron/IMG_0964.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Rhododendron/IMG_0965.jpeg,4
163,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Rhododendron/IMG_0971.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Rhododendron/IMG_0972.jpeg,8
164,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Rhododendron/IMG_0979.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Rhododendron/IMG_0980.jpeg,4
165,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Rhododendron/IMG_1009.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Rhododendron/IMG_1010.jpeg,4
166,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Xanthostemon_chrysanthus/IMG_1381.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Xanthostemon_chrysanthus/IMG_1382.jpeg,6
167,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Xanthostemon_chrysanthus/IMG_1393.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Xanthostemon_chrysanthus/IMG_1392.jpeg,6
168,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Camellia/IMG_1488.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Camellia/IMG_1489.jpeg,4
169,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa/IMG_1253.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa/IMG_1254.jpeg,6
170,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Goeppertia_makoyana/IMG_1192.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Goeppertia_makoyana/IMG_1193.jpeg,4
